src_ip,dst_ip,src_port,dst_port,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
245.234.7.161,177.170.190.112,37779,44380,2023/12/22 17:48,73075,1149.503934,27.36914129,13.68457065,13.68457065,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,66.182.100.104,37779,26159,2023/12/22 17:48,102699,817.9242252,19.47438631,9.737193157,9.737193157,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,191.195.47.231,37779,22975,2023/12/22 17:48,171448,489.944473,11.66534459,5.832672297,5.832672297,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,191.5.211.61,37779,42617,2023/12/22 17:48,110189,762.326548,18.1506321,9.075316048,9.075316048,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,183.49.63.86,37779,21166,2023/12/22 17:48,142366,590.028518,14.04829805,7.024149024,7.024149024,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,186.58.250.117,37779,8661,2023/12/22 17:48,170273,493.3254245,11.74584344,5.87292172,5.87292172,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,164.130.170.124,37779,9951,2023/12/22 17:48,6056843,20.80291663,0.495307539,0.495307539,0,3,0,126,0,42,42,42,0,0,0,0,0,42,42,42,0,0,24,0,8,0,3028421.5,4033531,2023312,1005109.5,6056843,4033531,2023312,3028421.5,1005109.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2023312,2010219,2016765.5,6546.5,0,0,0,0,0,0,42,0,0,3,0,126,0
245.234.7.161,117.168.218.30,37779,62355,2023/12/22 17:48,240187,699.455008,16.65369067,8.326845333,8.326845333,2,2,84,84,42,42,42,0,42,42,42,0,42,42,42,0,0,16,16,8,0,80062.33333,130526,52909,35717.67445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,73774,56752,65263,8511,0,0,0,0,0,0,42,42,0,2,2,84,84
245.234.7.161,67.61.183.121,37779,40543,2023/12/22 17:48,266465,315.238399,7.505676168,3.752838084,3.752838084,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
245.234.7.161,190.18.35.23,37779,29878,2023/12/22 17:48,122816,683.9499739,16.28452319,8.142261595,8.142261595,1,1,42,42,42,42,42,0,42,42,42,0,42,42,42,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,1,1,42,42
